Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93,total_move_in,total_move_out
SD05,Southeast Kootenay,0,23.24972734,14.24983289,0.999988273,0.874989739,7.124916444,0.999988273,9.999882729,1.999976546,0.999988273,0.999988273,0.999988273,0,2.999964819,0.999988273,0,0.999988273,0,0,5.999929637,0,0,0,0,2.999964819,0,0,0,1.999976546,0,0,4.124951626,0.999988273,0.999988273,2.999964819,0,1.999976546,0,0.999988273,0.999988273,0,0,0,0,0,0.999988273,0.999988273,0,0.999988273,0,0,0,0.999988273,0.999988273,0,0,0,6.124928171,0,2.999964819,105.7487599,125.125
SD06,Rocky Mountain,34.87459102,0,12.87484901,0,0.999988273,4.999941364,4.999941364,1.999976546,1.999976546,0,0.999988273,0,2.999964819,1.999976546,1.249985341,0,0,0,0.999988273,0.999988273,0,0,0,0,0,0,0,0,0,0,1.999976546,1.999976546,0.999988273,1.999976546,0.999988273,0,0,0,0,0,0.999988273,1.999976546,0.999988273,3.999953092,5.249938433,0,2.999964819,0.999988273,0.999988273,0,0.999988273,0,0,3.874954557,0,0,0,1.999976546,0,0.999988273,106.1237555,72.5
SD08,Kootenay Lake,15.99981237,10.999871,0,3.999953092,1.999976546,35.24958662,1.624980943,5.999929637,0,0.999988273,0,0,0.874989739,11.3748666,0.874989739,0.874989739,3.999953092,1.999976546,0,0.999988273,5.999929637,1.999976546,0,2.999964819,0,3.999953092,0,0,2.999964819,0,0,0,3.999953092,0,1.999976546,2.062475813,4.999941364,0,0,1.999976546,1.124986807,0.999988273,1.999976546,0.999988273,3.124963353,0.999988273,2.999964819,0,1.999976546,0,0.999988273,0,0.999988273,2.999964819,0,0,0,0.999988273,0,9.999882729,161.1856097,158.625
SD10,Arrow Lakes,0,0,2.999964819,0,0,1.999976546,1.999976546,5.999929637,0,0,1.999976546,0,1.999976546,0,0,0,0,0,0.999988273,0,1.999976546,0,0,0,0.999988273,0,0,0,0,0,1.249985341,0,0,0,0.999988273,0.999988273,0,0,0,0,1.999976546,0,0,0,0,0,3.999953092,0,0,0,0,0,0.999988273,0,0,0,0,0.124998534,0,0,31.37463206,21.5
SD19,Revelstoke,0,0,0,2.374972148,0,0,0,2.249973614,0,0,0.999988273,0,0.999988273,0,0,0,0.999988273,0,0,0.999988273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999976546,0.999988273,0,0,0,0,0.999988273,0,0,0.999988273,1.999976546,0,0.999988273,0,0,0.999988273,1.124986807,0,0,1.999976546,0,0,0,0,0,4.999941364,25.74969803,34.75
SD20,Kootenay - Columbia,11.24986807,1.124986807,50.24941071,0.999988273,0,0,0.999988273,11.99985927,0,2.999964819,0,1.999976546,3.999953092,5.999929637,3.999953092,0,0,0.999988273,1.999976546,1.999976546,0.999988273,0.624992671,0,0,2.12497508,0.999988273,0,0,6.99991791,0,0,0,1.999976546,0,0,1.999976546,0.999988273,2.999964819,0,0,7.124916444,0.999988273,0.999988273,0,3.999953092,0.999988273,0.999988273,0,0.999988273,0.999988273,0.999988273,0,0.999988273,1.999976546,0,0,0,0,0,3.999953092,145.4982937,107.875
SD22,Vernon,4.999941364,1.999976546,0.999988273,0.999988273,4.124951626,0,0,47.74944003,5.999929637,4.124951626,5.124939898,2.499970682,11.99985927,15.3748197,5.999929637,5.999929637,2.999964819,0.999988273,0,2.999964819,6.99991791,7.999906183,2.999964819,2.249973614,0,5.999929637,0,0,1.999976546,0,4.999941364,0.999988273,3.999953092,3.374960421,8.374901785,0.999988273,0,1.124986807,0.374995602,0.999988273,11.99985927,0.999988273,0,0,2.999964819,1.999976546,23.99971855,2.999964819,1.999976546,0,1.999976546,0,0.999988273,55.96814365,0,0.999988273,0,2.999964819,0,1.999976546,290.4653936,244.875
SD23,Central Okanagan,5.749932569,6.99991791,5.999929637,0,2.999964819,5.124939898,43.99948401,0,9.999882729,0.999988273,17.12479917,23.12472881,50.74940485,53.124377,18.49978305,12.99984755,17.87479038,1.999976546,6.99991791,6.99991791,22.99973028,4.062452359,4.999941364,0,0.999988273,4.999941364,0,0,14.99982409,3.999953092,12.37485488,0.999988273,13.74983875,11.87486074,5.374936967,9.12489299,4.999941364,3.999953092,1.999976546,0.999988273,35.49958369,11.87486074,0,0.999988273,2.999964819,0,22.74973321,2.999964819,4.999941364,0,3.124963353,0,5.999929637,16.24980943,0,0,0,5.999929637,0.999988273,12.99984755,541.4311505,433.125
SD27,Cariboo - Chilcotin,2.999964819,0,1.249985341,0,0,1.999976546,1.999976546,13.99983582,0,12.99984755,17.99978891,9.999882729,7.999906183,15.12482263,0.999988273,2.999964819,0.999988273,2.999964819,0,3.999953092,3.124963353,0,0,0.999988273,0,1.999976546,2.999964819,0,0.999988273,1.999976546,0.999988273,1.999976546,26.12469363,8.999894456,3.999953092,8.374901785,0,0.999988273,1.999976546,0.999988273,1.999976546,0.999988273,1.999976546,0,3.499958955,0.999988273,19.12477572,1.999976546,11.99985927,8.999894456,0.999988273,0,7.999906183,3.999953092,0,0,0,5.124939898,0.999988273,0,235.7472353,193.5
SD28,Quesnel,0,0,5.999929637,0,0,0,3.999953092,2.999964819,12.74985048,0,7.999906183,6.124928171,5.999929637,10.999871,0,0.999988273,0,0,2.999964819,3.999953092,2.999964819,0.999988273,0,0,0.999988273,0.999988273,0,0,0,0,0,0,6.99991791,0,0.999988273,5.999929637,0,5.249938433,0,0,0,2.999964819,2.999964819,2.999964819,0,0.999988273,7.999906183,0,2.999964819,0,0,0,0.999988273,0,0,5.124939898,0,3.999953092,0,0,121.2485781,97
SD33,Chilliwack,1.999976546,2.999964819,0.749991205,0.999988273,0,1.999976546,5.999929637,8.999894456,1.874978012,1.999976546,0,154.2481911,64.4992436,125.686026,13.99983582,2.874966285,26.24969216,3.999953092,9.874884195,15.12482263,17.99978891,9.999882729,1.999976546,3.249961887,0,11.12486954,0,0,0.999988273,0.999988273,0,0,6.99991791,0.999988273,2.999964819,10.12488126,0,4.124951626,0,0,0.999988273,0.999988273,2.999964819,0.999988273,0.999988273,6.99991791,8.999894456,1.999976546,26.99968337,29.99964819,0,0,2.999964819,8.999894456,0,1.999976546,0,6.99991791,0,14.74982702,633.5550701,465.3126
SD34,Abbotsford,0,0,1.499982409,0,0,0,2.999964819,11.99985927,4.999941364,0.999988273,71.74915858,0,105.8737584,174.3729551,18.87477865,0.999988273,17.99978891,7.999906183,12.99984755,23.37472588,9.999882729,3.999953092,0.999988273,0.999988273,2.999964819,0.999988273,0,0,0.999988273,0.999988273,0.999988273,0,2.249973614,0.999988273,3.999953092,3.687456756,1.999976546,0,1.999976546,0,9.12489299,2.999964819,2.999964819,1.999976546,0.999988273,0.999988273,11.99985927,0,102.8737936,14.99982409,1.999976546,0,0.999988273,3.124963353,0,0,0,2.249973614,1.999976546,8.999894456,663.0547242,614.625
SD35,Langley,0,0,0,0,0,0,0.999988273,4.999941364,2.999964819,0,27.18718117,77.87408675,0,337.246045,23.99971855,19.99976546,36.24957489,16.99980064,57.99931983,26.12469363,55.12435354,9.999882729,1.999976546,4.124951626,1.999976546,1.999976546,0,0,2.999964819,0.999988273,4.24995016,0,4.87494283,1.999976546,0,4.187450893,2.249973614,1.999976546,3.999953092,0,5.999929637,1.999976546,0,0,6.99991791,0,4.999941364,0,11.12486954,0,2.999964819,0,1.999976546,2.999964819,0,0,0,1.999976546,0,7.999906183,784.6157986,726.25
SD36,Surrey,4.999941364,2.999964819,0,0,0,3.999953092,10.12488126,8.999894456,5.999929637,1.999976546,34.49959541,67.12421282,202.7476223,0,175.1229463,97.4988566,206.1225827,62.99926119,183.8728437,37.99955437,88.12396655,13.99983582,6.99991791,4.24995016,5.999929637,0.999988273,0,0.999988273,0.999988273,1.124986807,7.999906183,0,6.99991791,2.999964819,3.999953092,0,18.12478745,9.999882729,1.999976546,1.999976546,11.24986807,8.999894456,3.124963353,5.999929637,5.999929637,2.999964819,15.12482263,2.999964819,11.87486074,4.999941364,3.124963353,0.999988273,4.749944296,3.999953092,0,1.999976546,0,4.24995016,0.999988273,18.74978012,1396.983617,1821.6875
SD37,Delta,0.999988273,0,0.999988273,0,0,0.999988273,2.999964819,9.999882729,0,0.999988273,2.999964819,9.12489299,14.99982409,276.4342582,0,55.99934328,59.62430077,10.999871,23.99971855,5.999929637,14.99982409,6.749920842,3.999953092,0,0.999988273,2.249973614,0,0,0,0.999988273,0,0,6.99991791,0,1.999976546,0,0,2.999964819,0.999988273,0,0,3.999953092,0,0.999988273,0.999988273,0,4.999941364,0,3.999953092,0,4.124951626,0,0,0,0,0,0,0.999988273,0,12.24985634,552.55602,531.25
SD38,Richmond,0,0,0,0,0,0,0,0.999988273,0,0,5.499935501,2.999964819,5.999929637,55.62434768,26.24969216,0,108.9987217,17.99978891,28.87466138,2.999964819,16.99980064,1.124986807,0.999988273,0.999988273,0.999988273,0,0,0,0,0.999988273,0,0,0.999988273,0,0,0,3.999953092,0.999988273,0.999988273,1.124986807,0,2.999964819,0,0,0,0.999988273,0.999988273,0,0,0.999988273,0,0,0,0.999988273,0,0,0,1.999976546,1.999976546,21.999742,319.4962532,486.5
SD39,Vancouver,0.999988273,0,2.999964819,0,0,0,0.999988273,8.999894456,0.999988273,0.999988273,8.999894456,6.99991791,11.87486074,112.4986807,16.4998065,125.2485312,0,29.87464965,162.7480914,9.999882729,45.74946348,22.74973321,30.74963939,8.999894456,1.874978012,6.124928171,0.999988273,0.999988273,0,6.99991791,2.12497508,1.999976546,8.874895922,0,0.999988273,0,14.49982996,2.12497508,0.249997068,18.87477865,0.999988273,10.999871,0,7.999906183,3.249961887,0.999988273,1.999976546,0.999988273,3.999953092,0,2.999964819,0,6.99991791,0,0,0.999988273,0,7.124916444,2.999964819,36.9995661,765.1160273,1217.1875
SD40,New Westminster,0,0,0,0,0,0,0.999988273,0,0,0,0.999988273,3.999953092,0.999988273,22.99973028,2.999964819,18.99977718,46.99944882,0,78.74907649,2.999964819,16.99980064,3.999953092,6.99991791,0.999988273,1.999976546,0,0,1.999976546,0,0,0,0,0,0,0,0,0.999988273,0.999988273,0,0.999988273,0,0.999988273,0,0,10.999871,4.999941364,2.999964819,0,2.999964819,0,0,0,2.999964819,3.999953092,0,0,0,1.999976546,0,3.999953092,252.747036,411.875
SD41,Burnaby,0,0,0,0,0.999988273,1.999976546,1.999976546,1.999976546,1.874978012,0,9.999882729,9.999882729,13.12484608,79.62406623,9.999882729,27.62467604,195.0602125,79.74906476,0,10.49987687,71.93665638,19.68726912,7.812408382,0,1.624980943,6.99991791,0,0,0,3.999953092,1.999976546,0,1.999976546,0.999988273,0,1.999976546,8.249903251,1.624980943,0.999988273,3.999953092,1.749979478,2.999964819,0.499994136,0.999988273,4.999941364,2.999964819,1.999976546,0,0,2.999964819,0,0,3.999953092,0,0,3.249961887,0,0,1.999976546,16.99980064,623.9926823,941.625
