DISTRICT,SCHOOL_YEAR,LAST_YEAR_ENROLMENT,C_STU_CG_LAST_YR,C_STU_CG_THIS_YR,C_STU_RG_LAST_YR,C_STU_RG_THIS_YR,ENTER_ADD_LEARNING,EXIT_ADD_LEARNING,DIST_NET_RETENTION,FORECAST_ENROLMENT
05,2013,5163.3,4281,-4261.4,54.3,-73,17.6,-20,-2,5159.6
05,2014,5159.6,4331.9,-4336.3,27.4,-37,9.1,-17.6,-23,5170.9
05,2015,5170.9,4452.9,-4409.6,33.6,-46.3,10,-9.1,32,5338.9
05,2016,5338.9,4575.6,-4540.3,36.9,-55.9,15.8,-10,22,5414.3
05,2017,5414.3,4614.3,-4587.6,41.3,-54.1,13.8,-15.8,12,5448.9
05,2018,5448.9,4693.5,-4675.1,48,-56.4,10.2,-13.8,6,5544.3
06,2013,3000,2481.4,-2471.4,35.5,-43,5.3,-17.3,-10,2999.9
06,2014,2999.9,2500.8,-2498.7,27.8,-30.4,1.9,-5.3,-4,3008.8
06,2015,3008.8,2538.3,-2526.8,35.3,-41.6,0,-1.9,3,3069.3
06,2016,3069.3,2598.1,-2601.4,29.8,-36,10.8,0,1,3116.2
06,2017,3116.2,2678.8,-2686.3,24,-34.3,5.5,-10.8,-23,3188.8
06,2018,3188.8,2736.1,-2762.6,21.5,-38,4.9,-5.5,-44,3268.5
08,2013,4846.6,3893.1,-3924.4,21.4,-67.4,21.5,-27.5,-83,4722.4
08,2014,4722.4,3860.6,-3859.8,3,-57.2,30.6,-21.5,-44,4682.3
08,2015,4682.3,3868,-3888.2,-3.9,-88.9,28.3,-30.6,-115,4635.1
08,2016,4635.1,3899.2,-3898,28.2,-70.5,34.6,-28.3,-35,4766.8
08,2017,4766.8,3958.1,-3975.8,31.4,-65.9,50.7,-34.6,-36,4772.9
08,2018,4772.9,3851.8,-3890.4,36.8,-65.9,35.4,-50.7,-83,4682.4
10,2013,498.4,385.3,-383.2,3.3,-5.7,1.4,-0.6,0,468.4
10,2014,468.4,373.2,-372.2,0.6,-1.5,4.3,-1.4,3,457.4
10,2015,457.4,371.8,-376.6,2,-2.6,3.9,-4.3,-6,440.4
10,2016,440.4,356.4,-351.9,2,-5.6,6.9,-3.9,4,442.1
10,2017,442.1,353.4,-350.9,4.1,-5.6,5.8,-6.9,0,435.3
10,2018,435.3,355.7,-349.2,1.3,-1,2,-5.8,3,456.4
19,2013,1014.8,828.8,-829.4,8.6,-11.3,0,0,-3,948.3
19,2014,948.3,778.3,-781.7,5.4,-8.4,0.3,0,-6,927.3
19,2015,927.3,790,-799.9,6,-7.1,0,-0.3,-11,923.9
19,2016,923.9,799,-791.6,4.8,-10.9,0,0,1,955.3
19,2017,955.3,816.5,-809.5,10,-14.6,0,0,2,969.6
19,2018,969.6,847.8,-839.1,6.3,-9.6,0,0,5,1032.6
20,2013,3889.8,3236.1,-3201.1,54.4,-53.8,0.4,0,36,3784.3
20,2014,3784.3,3206.9,-3178,27,-37.4,1,-0.4,19,3700.4
20,2015,3700.4,3136.9,-3138.2,24.9,-26.5,0.1,-1,-4,3675.3
20,2016,3675.3,3185.5,-3109.6,38.6,-48.9,1,-0.1,67,3839
20,2017,3839,3339.9,-3268.1,32.1,-49.5,18.4,-1,72,3944.6
20,2018,3944.6,3312.8,-3339.4,52.8,-68.9,3.5,-18.4,-58,3935.4
22,2013,8000.4,6606.4,-6642.8,87.4,-109.8,32.1,-23.5,-50,7840.7
22,2014,7840.7,6677.1,-6592,97.2,-116.1,32.6,-32.1,67,8044
22,2015,8044,6917.4,-6862.2,91.4,-110.6,31.9,-32.6,35,8185.3
22,2016,8185.3,6919.6,-6904.9,100.2,-137.9,34.8,-31.9,-20,8273.8
